nodeID,networkCanvasEgoUUID,networkCanvasUUID,alter_age,ego_alter_interaction_context_family,ego_alter_interaction_context_community,ego_alter_interaction_context_school,ego_alter_interaction_context_work,ego_alter_interaction_context_social,ego_alter_interaction_frequency,ego_alter_cs_frequency,ego_alter_language_english,ego_alter_language_spanish,ego_alter_language_mandarin,ego_alter_language_cantonese,ego_alter_language_filipino,ego_alter_language_vietnamese,ego_alter_language_arabic,ego_alter_language_korean,ego_alter_language_japanese,ego_alter_language_other,alter_language_english,alter_language_spanish,alter_language_mandarin,alter_language_cantonese,alter_language_filipino,alter_language_vietnamese,alter_language_arabic,alter_language_korean,alter_language_japanese,alter_language_other,name,alter_gender,ego_alter_emotional_closeness,ego_alter_interaction_context,languageKnownCategory,languageUsedCategory
11,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,7a155d16-c42f-4344-9b98-3a561a2fd6f4,56_65,FALSE,FALSE,FALSE,FALSE,TRUE,2,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter11,male,4,social,Spanish-English,Spanish-English
12,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,197b04a5-e251-47ed-9eb1-2135707af410,18_25,TRUE,FALSE,FALSE,FALSE,FALSE,5,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter12,other,2,family,Spanish-English,Spanish-English
13,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,2ce627ba-167a-4c4c-af5e-fcf4054513ab,56_65,FALSE,FALSE,FALSE,FALSE,TRUE,1,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter13,female,1,social,Spanish-English,Spanish-English
14,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,aeb3c7b5-339a-4eda-aaaa-8b5a389f8ef1,36_45,FALSE,TRUE,FALSE,FALSE,FALSE,2,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter14,female,4,community,Spanish-English,Spanish-English
15,4bc7e51b-a8af-4881-982e-12cfb2b1e9e3,545234f0-fcec-415b-a75f-4d59741ed1a7,26_35,FALSE,TRUE,FALSE,FALSE,FALSE,5,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter15,male,4,community,Spanish-English,Spanish-English
1,fe801e88-5207-4550-a877-b072e25bebf4,eebe9d77-d572-4b52-933e-fb133e2c1c0f,56_65,FALSE,FALSE,FALSE,FALSE,TRUE,2,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter1,other,2,social,English,English
2,fe801e88-5207-4550-a877-b072e25bebf4,c472adf2-f897-47b4-842b-59b1f070a217,56_65,FALSE,FALSE,TRUE,FALSE,FALSE,3,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter2,male,5,school,English,English
3,fe801e88-5207-4550-a877-b072e25bebf4,6833df99-0aa7-4265-925e-3790176a9741,10_17,FALSE,FALSE,FALSE,TRUE,FALSE,2,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter3,female,1,work,English,English
4,fe801e88-5207-4550-a877-b072e25bebf4,cace45cd-1fed-461b-8750-ada5987430b3,0_9,FALSE,FALSE,TRUE,FALSE,FALSE,5,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter4,other,2,school,English,English
5,fe801e88-5207-4550-a877-b072e25bebf4,c6037abf-e06e-4faf-a781-1ae017a0d199,26_35,FALSE,FALSE,FALSE,FALSE,TRUE,1,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter5,female,1,social,English,English
6,fe801e88-5207-4550-a877-b072e25bebf4,9add8de0-78c8-42c2-8168-eac4a15c6eeb,10_17,FALSE,TRUE,FALSE,FALSE,FALSE,1,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter6,male,1,community,English,English
7,fe801e88-5207-4550-a877-b072e25bebf4,cd2bcd69-dbba-4864-9433-60cf27ca6ae0,26_35,FALSE,FALSE,FALSE,FALSE,TRUE,3,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter7,other,4,social,English,English
8,fe801e88-5207-4550-a877-b072e25bebf4,fb337e19-1715-4a37-874d-6da8de8f0062,18_25,FALSE,TRUE,FALSE,FALSE,FALSE,5,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter8,other,4,community,English,English
9,fe801e88-5207-4550-a877-b072e25bebf4,309daa5c-7962-4b11-be9a-924572578e3d,65_99,FALSE,TRUE,FALSE,FALSE,FALSE,4,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter9,female,1,community,Spanish,Spanish
10,fe801e88-5207-4550-a877-b072e25bebf4,428df887-09d8-48d1-9eb0-b6885c85e6b3,56_65,TRUE,FALSE,FALSE,FALSE,FALSE,3,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter10,male,4,family,Spanish,Spanish
11,fe801e88-5207-4550-a877-b072e25bebf4,2a26b78d-e1ef-4ccd-af6b-a3cc8b0bfebf,0_9,FALSE,FALSE,FALSE,TRUE,FALSE,1,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter11,female,4,work,Spanish,Spanish
12,fe801e88-5207-4550-a877-b072e25bebf4,f8b7c244-de53-4b0b-8066-62fc1195af50,10_17,FALSE,FALSE,TRUE,FALSE,FALSE,2,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter12,female,2,school,Spanish,Spanish
13,fe801e88-5207-4550-a877-b072e25bebf4,ec873b5c-bda8-4aae-aae7-80ea5c71a307,65_99,FALSE,FALSE,FALSE,FALSE,TRUE,2,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter13,male,2,social,Spanish,Spanish
14,fe801e88-5207-4550-a877-b072e25bebf4,be2ee124-a454-49de-aeba-04dcaf282aad,65_99,FALSE,FALSE,TRUE,FALSE,FALSE,2,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter14,female,4,school,Spanish,Spanish
15,fe801e88-5207-4550-a877-b072e25bebf4,0bad3513-17f0-4db3-bc9a-6ceebaa5e9cc,10_17,FALSE,FALSE,FALSE,FALSE,TRUE,1,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter15,other,5,social,Spanish,Spanish
1,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,bf6d52e8-23c8-450a-800f-8aed1a4a0f76,56_65,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter1,male,3,social,Spanish-English,Spanish-English
2,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,6a202486-d489-49b3-a55c-93997f07e92c,0_9,FALSE,FALSE,TRUE,FALSE,FALSE,5,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter2,other,1,school,Spanish-English,Spanish-English
3,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,8e1a4732-d5f4-4a8f-9289-4ccc56853825,36_45,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter3,female,2,community,Spanish-English,Spanish-English
4,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,c7ee00b9-63f0-4d8f-94e8-78d28a2255a3,10_17,FALSE,TRUE,FALSE,FALSE,FALSE,2,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter4,female,4,community,English,English
5,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,932747df-bb67-4146-b77b-469d3a911704,65_99,FALSE,FALSE,FALSE,TRUE,FALSE,3,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter5,female,2,work,English,English
6,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,8eb062f2-5b67-4045-8f2f-eb30726bf520,36_45,FALSE,FALSE,TRUE,FALSE,FALSE,4,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter6,female,2,school,English,English
7,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,63b2f257-4567-49e2-a619-aad24f292012,26_35,FALSE,FALSE,TRUE,FALSE,FALSE,4,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter7,female,5,school,English,English
8,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,66a2008e-917b-47ec-b736-1ed0fd836851,18_25,FALSE,TRUE,FALSE,FALSE,FALSE,3,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter8,female,1,community,English,English
9,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,dd190408-d0bf-44a8-a3c4-e3a380618681,18_25,TRUE,FALSE,FALSE,FALSE,FALSE,3,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter9,other,5,family,English,English
10,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,cf354d28-aeba-4af5-bbe8-019030d6a220,65_99,FALSE,FALSE,TRUE,FALSE,FALSE,1,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter10,male,3,school,English,English
11,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,6fc776cf-a42f-491e-b7e0-9c9604fa4cda,36_45,FALSE,FALSE,FALSE,TRUE,FALSE,5,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter11,other,4,work,English,English
12,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,2d69aa29-526a-4703-91fd-982897e4ac5c,10_17,FALSE,FALSE,FALSE,TRUE,FALSE,5,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter12,female,4,work,English,English
13,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,27fa36cd-0e0a-4f65-bd74-566d5f7ba8ec,36_45,FALSE,FALSE,TRUE,FALSE,FALSE,1,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter13,female,2,school,English,English
14,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,17d058e0-6fb9-4a2b-813f-186b73e6a380,0_9,FALSE,FALSE,FALSE,FALSE,TRUE,3,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter14,other,1,social,English,English
15,f68dccfc-29d6-47ab-ab7e-93b5ace9c226,a75642ac-5911-4a55-b61b-f95c757607b4,65_99,FALSE,TRUE,FALSE,FALSE,FALSE,5,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter15,other,4,community,English,English
1,96f49992-a293-45b1-bd84-ccedf42d66fc,5defc4e6-3175-4181-9c8a-648699f85b37,65_99,TRUE,FALSE,FALSE,FALSE,FALSE,4,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter1,other,3,family,Spanish,Spanish
2,96f49992-a293-45b1-bd84-ccedf42d66fc,1ccc9df2-0368-4a01-b94e-879377878219,56_65,TRUE,FALSE,FALSE,FALSE,FALSE,5,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter2,other,3,family,Spanish,Spanish
3,96f49992-a293-45b1-bd84-ccedf42d66fc,30fd8316-7e10-4fe3-afca-3ab2135856b4,46_55,TRUE,FALSE,FALSE,FALSE,FALSE,4,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter3,male,4,family,Spanish,Spanish
4,96f49992-a293-45b1-bd84-ccedf42d66fc,39887f8b-07b7-4d12-aac6-1f61ce26f3df,65_99,TRUE,FALSE,FALSE,FALSE,FALSE,2,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter4,male,5,family,Spanish,Spanish
5,96f49992-a293-45b1-bd84-ccedf42d66fc,1f539e42-90a5-4642-8245-b6344048451c,56_65,TRUE,FALSE,FALSE,FALSE,FALSE,2,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter5,male,2,family,Spanish,Spanish
6,96f49992-a293-45b1-bd84-ccedf42d66fc,55d9a0e2-c6db-46d5-8dc5-caa0849def08,26_35,FALSE,TRUE,FALSE,FALSE,FALSE,2,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter6,female,3,community,Spanish-English,Spanish-English
7,96f49992-a293-45b1-bd84-ccedf42d66fc,ecf239ab-a17f-4ac6-b54c-6b0fedc33801,18_25,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter7,male,1,work,Spanish-English,Spanish-English
8,96f49992-a293-45b1-bd84-ccedf42d66fc,04489e2b-89ba-4501-873f-3aa71820bffd,26_35,FALSE,TRUE,FALSE,FALSE,FALSE,3,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter8,other,5,community,Spanish-English,Spanish-English
9,96f49992-a293-45b1-bd84-ccedf42d66fc,c127476c-e5a0-4ec4-9245-de1841ee6320,36_45,FALSE,FALSE,FALSE,TRUE,FALSE,2,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter9,male,5,work,Spanish-English,Spanish-English
10,96f49992-a293-45b1-bd84-ccedf42d66fc,d10b7eaf-8a91-438f-b5b1-e71454716382,18_25,FALSE,FALSE,FALSE,TRUE,FALSE,3,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter10,other,5,work,Spanish-English,Spanish-English
11,96f49992-a293-45b1-bd84-ccedf42d66fc,5b3a82a5-0610-4831-a8e9-846c6d0d625e,10_17,FALSE,FALSE,TRUE,FALSE,FALSE,4,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter11,male,3,school,English,English
12,96f49992-a293-45b1-bd84-ccedf42d66fc,27976c3a-994f-4276-8108-ac566594aaae,0_9,FALSE,FALSE,TRUE,FALSE,FALSE,2,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter12,other,2,school,English,English
13,96f49992-a293-45b1-bd84-ccedf42d66fc,a90007d6-5434-4ba5-9ec5-1853846216ba,10_17,FALSE,FALSE,TRUE,FALSE,FALSE,5,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter13,male,2,school,English,English
14,96f49992-a293-45b1-bd84-ccedf42d66fc,94e59a56-e8ff-4405-adb9-2642e4674ec6,18_25,FALSE,FALSE,TRUE,FALSE,FALSE,4,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter14,female,3,school,English,English
15,96f49992-a293-45b1-bd84-ccedf42d66fc,bf73986e-433f-4b78-9d41-a95aa7cc9644,0_9,FALSE,FALSE,TRUE,FALSE,FALSE,4,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter15,other,4,school,English,English
1,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,5cc91590-6c1c-4f70-a9c8-42416809bb76,26_35,FALSE,FALSE,TRUE,FALSE,FALSE,3,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter1,male,2,school,English,English
2,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,051fbb13-c981-455d-9b2c-e9499a1ed216,65_99,FALSE,FALSE,TRUE,FALSE,FALSE,3,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter2,female,1,school,English,English
3,22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,47e71a9f-9b6d-47a1-a74c-d1e49a89c3e3,10_17,FALSE,FALSE,FALSE,TRUE,FALSE,1,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alter3,other,2,work,English,English
