networkCanvasEgoUUID,networkCanvasUUID,nodeID,name,alter_gender,alter_age,ego_alter_interaction_frequency,ego_alter_emotional_closeness,ego_alter_interaction_context,languageUsedCategory,languageKnownCategory,ego_alter_cs_frequency
fe801e88-5207-4550-a877-b072e25bebf4,9add8de0-78c8-42c2-8168-eac4a15c6eeb,6,alter6,male,10_17,1,1,community,English,English,NA
fe801e88-5207-4550-a877-b072e25bebf4,cd2bcd69-dbba-4864-9433-60cf27ca6ae0,7,alter7,other,26_35,3,4,social,English,English,NA
fe801e88-5207-4550-a877-b072e25bebf4,fb337e19-1715-4a37-874d-6da8de8f0062,8,alter8,other,18_25,5,4,community,English,English,NA
fe801e88-5207-4550-a877-b072e25bebf4,309daa5c-7962-4b11-be9a-924572578e3d,9,alter9,female,65_99,4,1,community,Spanish,Spanish,NA
fe801e88-5207-4550-a877-b072e25bebf4,428df887-09d8-48d1-9eb0-b6885c85e6b3,10,alter10,male,56_65,3,4,family,Spanish,Spanish,NA
fe801e88-5207-4550-a877-b072e25bebf4,2a26b78d-e1ef-4ccd-af6b-a3cc8b0bfebf,11,alter11,female,0_9,1,4,work,Spanish,Spanish,NA
fe801e88-5207-4550-a877-b072e25bebf4,f8b7c244-de53-4b0b-8066-62fc1195af50,12,alter12,female,10_17,2,2,school,Spanish,Spanish,NA
fe801e88-5207-4550-a877-b072e25bebf4,ec873b5c-bda8-4aae-aae7-80ea5c71a307,13,alter13,male,65_99,2,2,social,Spanish,Spanish,NA
fe801e88-5207-4550-a877-b072e25bebf4,be2ee124-a454-49de-aeba-04dcaf282aad,14,alter14,female,65_99,2,4,school,Spanish,Spanish,NA
fe801e88-5207-4550-a877-b072e25bebf4,0bad3513-17f0-4db3-bc9a-6ceebaa5e9cc,15,alter15,other,10_17,1,5,social,Spanish,Spanish,NA
f68dccfc-29d6-47ab-ab7e-93b5ace9c226,bf6d52e8-23c8-450a-800f-8aed1a4a0f76,1,alter1,male,56_65,4,3,social,Spanish-English,Spanish-English,2
f68dccfc-29d6-47ab-ab7e-93b5ace9c226,6a202486-d489-49b3-a55c-93997f07e92c,2,alter2,other,0_9,5,1,school,Spanish-English,Spanish-English,3
f68dccfc-29d6-47ab-ab7e-93b5ace9c226,8e1a4732-d5f4-4a8f-9289-4ccc56853825,3,alter3,female,36_45,1,2,community,Spanish-English,Spanish-English,2
f68dccfc-29d6-47ab-ab7e-93b5ace9c226,c7ee00b9-63f0-4d8f-94e8-78d28a2255a3,4,alter4,female,10_17,2,4,community,English,English,NA
f68dccfc-29d6-47ab-ab7e-93b5ace9c226,932747df-bb67-4146-b77b-469d3a911704,5,alter5,female,65_99,3,2,work,English,English,NA
f68dccfc-29d6-47ab-ab7e-93b5ace9c226,8eb062f2-5b67-4045-8f2f-eb30726bf520,6,alter6,female,36_45,4,2,school,English,English,NA
f68dccfc-29d6-47ab-ab7e-93b5ace9c226,63b2f257-4567-49e2-a619-aad24f292012,7,alter7,female,26_35,4,5,school,English,English,NA
f68dccfc-29d6-47ab-ab7e-93b5ace9c226,66a2008e-917b-47ec-b736-1ed0fd836851,8,alter8,female,18_25,3,1,community,English,English,NA
f68dccfc-29d6-47ab-ab7e-93b5ace9c226,dd190408-d0bf-44a8-a3c4-e3a380618681,9,alter9,other,18_25,3,5,family,English,English,NA
f68dccfc-29d6-47ab-ab7e-93b5ace9c226,cf354d28-aeba-4af5-bbe8-019030d6a220,10,alter10,male,65_99,1,3,school,English,English,NA
f68dccfc-29d6-47ab-ab7e-93b5ace9c226,6fc776cf-a42f-491e-b7e0-9c9604fa4cda,11,alter11,other,36_45,5,4,work,English,English,NA
f68dccfc-29d6-47ab-ab7e-93b5ace9c226,2d69aa29-526a-4703-91fd-982897e4ac5c,12,alter12,female,10_17,5,4,work,English,English,NA
f68dccfc-29d6-47ab-ab7e-93b5ace9c226,27fa36cd-0e0a-4f65-bd74-566d5f7ba8ec,13,alter13,female,36_45,1,2,school,English,English,NA
f68dccfc-29d6-47ab-ab7e-93b5ace9c226,17d058e0-6fb9-4a2b-813f-186b73e6a380,14,alter14,other,0_9,3,1,social,English,English,NA
f68dccfc-29d6-47ab-ab7e-93b5ace9c226,a75642ac-5911-4a55-b61b-f95c757607b4,15,alter15,other,65_99,5,4,community,English,English,NA
96f49992-a293-45b1-bd84-ccedf42d66fc,5defc4e6-3175-4181-9c8a-648699f85b37,1,alter1,other,65_99,4,3,family,Spanish,Spanish,NA
96f49992-a293-45b1-bd84-ccedf42d66fc,1ccc9df2-0368-4a01-b94e-879377878219,2,alter2,other,56_65,5,3,family,Spanish,Spanish,NA
96f49992-a293-45b1-bd84-ccedf42d66fc,30fd8316-7e10-4fe3-afca-3ab2135856b4,3,alter3,male,46_55,4,4,family,Spanish,Spanish,NA
96f49992-a293-45b1-bd84-ccedf42d66fc,39887f8b-07b7-4d12-aac6-1f61ce26f3df,4,alter4,male,65_99,2,5,family,Spanish,Spanish,NA
96f49992-a293-45b1-bd84-ccedf42d66fc,1f539e42-90a5-4642-8245-b6344048451c,5,alter5,male,56_65,2,2,family,Spanish,Spanish,NA
96f49992-a293-45b1-bd84-ccedf42d66fc,55d9a0e2-c6db-46d5-8dc5-caa0849def08,6,alter6,female,26_35,2,3,community,Spanish-English,Spanish-English,4
96f49992-a293-45b1-bd84-ccedf42d66fc,ecf239ab-a17f-4ac6-b54c-6b0fedc33801,7,alter7,male,18_25,5,1,work,Spanish-English,Spanish-English,3
96f49992-a293-45b1-bd84-ccedf42d66fc,04489e2b-89ba-4501-873f-3aa71820bffd,8,alter8,other,26_35,3,5,community,Spanish-English,Spanish-English,3
96f49992-a293-45b1-bd84-ccedf42d66fc,c127476c-e5a0-4ec4-9245-de1841ee6320,9,alter9,male,36_45,2,5,work,Spanish-English,Spanish-English,4
96f49992-a293-45b1-bd84-ccedf42d66fc,d10b7eaf-8a91-438f-b5b1-e71454716382,10,alter10,other,18_25,3,5,work,Spanish-English,Spanish-English,3
96f49992-a293-45b1-bd84-ccedf42d66fc,5b3a82a5-0610-4831-a8e9-846c6d0d625e,11,alter11,male,10_17,4,3,school,English,English,NA
96f49992-a293-45b1-bd84-ccedf42d66fc,27976c3a-994f-4276-8108-ac566594aaae,12,alter12,other,0_9,2,2,school,English,English,NA
96f49992-a293-45b1-bd84-ccedf42d66fc,a90007d6-5434-4ba5-9ec5-1853846216ba,13,alter13,male,10_17,5,2,school,English,English,NA
96f49992-a293-45b1-bd84-ccedf42d66fc,94e59a56-e8ff-4405-adb9-2642e4674ec6,14,alter14,female,18_25,4,3,school,English,English,NA
96f49992-a293-45b1-bd84-ccedf42d66fc,bf73986e-433f-4b78-9d41-a95aa7cc9644,15,alter15,other,0_9,4,4,school,English,English,NA
22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,5cc91590-6c1c-4f70-a9c8-42416809bb76,1,alter1,male,26_35,3,2,school,English,English,NA
22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,051fbb13-c981-455d-9b2c-e9499a1ed216,2,alter2,female,65_99,3,1,school,English,English,NA
22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,47e71a9f-9b6d-47a1-a74c-d1e49a89c3e3,3,alter3,other,10_17,1,2,work,English,English,NA
22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,0b06e3e7-e49b-473a-a4b2-1eb747d9af43,4,alter4,male,36_45,2,1,social,English,English,NA
22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,4fc18260-c257-49eb-80ef-1f1d94f0cb62,5,alter5,female,46_55,3,4,community,English,English,NA
22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,cd668468-1876-413d-b643-3255d63e78c0,6,alter6,other,36_45,5,5,social,English,English,NA
22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,12d15ea3-ef61-4c0f-ab92-336f33c599c2,7,alter7,female,36_45,1,3,family,English,English,NA
22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,42f4e95d-8951-4dc6-9169-b74e15da4c9f,8,alter8,female,10_17,5,3,family,English,English,NA
22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,9bb7ca33-f053-4a25-83be-9a1e0c3ce833,9,alter9,female,26_35,3,3,school,Spanish,Spanish,NA
22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,3e9758b4-0007-4f42-9189-37c33db769dc,10,alter10,female,65_99,3,1,social,Spanish,Spanish,NA
22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,41fa8152-3f81-4c1a-be2a-71fa3c9fe093,11,alter11,female,36_45,1,3,work,Spanish,Spanish,NA
22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,2d4fe911-7536-4292-822e-05fd07ed1247,12,alter12,other,36_45,2,4,community,Spanish,Spanish,NA
22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,52d643ab-0445-414b-be60-0d22d68c695f,13,alter13,female,56_65,5,1,social,Spanish,Spanish,NA
22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,71cae1eb-ff83-4b42-87b6-82112f732bee,14,alter14,female,18_25,5,3,family,Spanish,Spanish,NA
22e0f2c8-ddde-4271-bb6b-e9ec7fa6da6b,e5c39b6c-4d80-49d9-b02a-b6ed131ae517,15,alter15,female,18_25,4,1,social,Spanish,Spanish,NA
82d2ef44-8636-4214-ba7b-4694793321d2,f17d26b9-2984-468b-a64e-132e928bbb5f,1,alter1,other,56_65,5,1,school,Spanish-English,Spanish-English,4
82d2ef44-8636-4214-ba7b-4694793321d2,4fe04fde-4576-4948-8a5c-95fe08a04258,2,alter2,female,26_35,3,4,social,Spanish-English,Spanish-English,3
82d2ef44-8636-4214-ba7b-4694793321d2,7c7c8e49-f425-4d4e-89eb-df5bdffaa523,3,alter3,male,26_35,3,1,social,Spanish-English,Spanish-English,2
82d2ef44-8636-4214-ba7b-4694793321d2,d7b5768e-341e-45f9-bef1-a1b59fbe1257,4,alter4,other,46_55,1,3,school,Spanish-English,Spanish-English,4
82d2ef44-8636-4214-ba7b-4694793321d2,53866ce4-d1df-4309-8d85-da0daab48b2e,5,alter5,male,56_65,3,3,school,Spanish-English,Spanish-English,4
82d2ef44-8636-4214-ba7b-4694793321d2,8116a6cd-0bcd-4102-be3c-ad6c143e3af3,6,alter6,male,18_25,2,4,social,English,English,NA
82d2ef44-8636-4214-ba7b-4694793321d2,e45ed03e-47cd-490e-ae21-d345a9e7f67d,7,alter7,other,36_45,4,1,community,English,English,NA
82d2ef44-8636-4214-ba7b-4694793321d2,ba8ed2ca-a947-41ed-aa14-ab682c988f2d,8,alter8,male,36_45,2,5,school,English,English,NA
82d2ef44-8636-4214-ba7b-4694793321d2,fa4bd65c-14d7-4de8-a52b-2ceec9f65242,9,alter9,male,46_55,4,4,social,English,English,NA
82d2ef44-8636-4214-ba7b-4694793321d2,8414ad7c-8c46-46db-b94a-dd2003f1bf54,10,alter10,other,65_99,2,1,community,English,English,NA
82d2ef44-8636-4214-ba7b-4694793321d2,6625f87d-bf77-44a3-9e2d-64d9c86d674f,11,alter11,female,46_55,1,3,school,Spanish,Spanish,NA
82d2ef44-8636-4214-ba7b-4694793321d2,5a9d6905-a9cb-4a12-9c0c-47c6c958ca59,12,alter12,female,26_35,2,1,community,Spanish,Spanish,NA
82d2ef44-8636-4214-ba7b-4694793321d2,552bc356-6c66-4d98-a8f3-6f5fd361a2e3,13,alter13,female,65_99,5,4,community,Spanish,Spanish,NA
82d2ef44-8636-4214-ba7b-4694793321d2,01b04741-4cd5-4323-a7ed-f99c7fcf8087,14,alter14,male,26_35,4,4,work,Spanish,Spanish,NA
82d2ef44-8636-4214-ba7b-4694793321d2,eef1cd83-043d-4984-8c07-0bdae925706a,15,alter15,female,18_25,1,4,community,Spanish,Spanish,NA
28202870-0e8a-4600-9434-c280eff762cd,4d49ba4c-f9f8-41e2-a239-d144dc658721,1,alter1,male,65_99,1,3,work,Spanish-English,Spanish-English,4
28202870-0e8a-4600-9434-c280eff762cd,2a409b4e-bf89-4189-a979-43fcb0462f2c,2,alter2,other,56_65,5,5,work,Spanish-English,Spanish-English,4
28202870-0e8a-4600-9434-c280eff762cd,16ccf245-ba84-46e0-93b3-5defa16fb18d,3,alter3,female,26_35,4,3,social,Spanish-English,Spanish-English,4
28202870-0e8a-4600-9434-c280eff762cd,ef7f2b98-344c-44e8-8cf7-3e96e4114a93,4,alter4,male,65_99,1,3,work,Spanish-English,Spanish-English,4
28202870-0e8a-4600-9434-c280eff762cd,9590a8c2-353e-445f-a8ff-8e7e2dfd52e3,5,alter5,female,18_25,4,5,work,Spanish-English,Spanish-English,4
28202870-0e8a-4600-9434-c280eff762cd,ed1b49db-ad0a-4ca8-ab4a-dead022f4712,6,alter6,other,0_9,4,5,social,Spanish-English,Spanish-English,4
28202870-0e8a-4600-9434-c280eff762cd,2124acb2-6938-4f90-9027-61c402562067,7,alter7,female,10_17,4,4,family,Spanish-English,Spanish-English,4
28202870-0e8a-4600-9434-c280eff762cd,9019859b-55a2-44f6-921c-6b794b72a850,8,alter8,male,0_9,3,3,community,Spanish-English,Spanish-English,4
28202870-0e8a-4600-9434-c280eff762cd,46e83a43-dce7-47ac-bddc-c4eec32b7414,9,alter9,male,65_99,3,4,community,Spanish-English,Spanish-English,4
28202870-0e8a-4600-9434-c280eff762cd,bd94b304-691b-490e-85ef-3398d3e374c0,10,alter10,female,56_65,3,4,school,Spanish-English,Spanish-English,4
28202870-0e8a-4600-9434-c280eff762cd,e4fe731d-dd11-4d96-808c-f6affff1c938,11,alter11,female,0_9,3,1,family,Spanish-English,Spanish-English,4
28202870-0e8a-4600-9434-c280eff762cd,9ab16a0b-f2e0-4692-b60b-23ab80caedb7,12,alter12,female,0_9,2,1,family,Spanish-English,Spanish-English,4
28202870-0e8a-4600-9434-c280eff762cd,854a3a13-ecce-484a-a7a9-102dcde4281e,13,alter13,female,18_25,2,4,social,Spanish-English,Spanish-English,4
28202870-0e8a-4600-9434-c280eff762cd,c2b4e86c-684d-42af-8f52-857eed40dc8d,14,alter14,other,26_35,4,3,family,Spanish-English,Spanish-English,4
28202870-0e8a-4600-9434-c280eff762cd,9a41b2f6-98d2-4730-818d-5b7aadf44858,15,alter15,other,18_25,5,1,school,Spanish-English,Spanish-English,4
06029b97-694c-41b8-807e-4cb07dca16a8,e07abebf-cbd5-4b58-941b-a8cc9af8610f,1,alter1,other,36_45,5,4,family,Spanish-English,Spanish-English,4
06029b97-694c-41b8-807e-4cb07dca16a8,5ba5be2c-1d23-42c4-b7fc-6d6bbe4b0f9e,2,alter2,other,65_99,4,5,family,Spanish-English,Spanish-English,4
06029b97-694c-41b8-807e-4cb07dca16a8,bc0aec74-8bd2-46c3-8b43-3797e85c23cf,3,alter3,female,36_45,3,1,family,Spanish-English,Spanish-English,4
06029b97-694c-41b8-807e-4cb07dca16a8,a162c1a7-bf2c-4d3b-8f38-17e608624264,4,alter4,female,36_45,4,4,community,Spanish-English,Spanish-English,3
06029b97-694c-41b8-807e-4cb07dca16a8,c645f0a3-9fd5-4414-8324-c960983f79d4,5,alter5,female,56_65,3,4,community,Spanish-English,Spanish-English,3
06029b97-694c-41b8-807e-4cb07dca16a8,aecbf17e-9a82-4aa1-9955-7e44d701f95e,6,alter6,male,46_55,2,2,school,Spanish-English,Spanish-English,1
06029b97-694c-41b8-807e-4cb07dca16a8,f6c3871e-8439-4c64-a867-8168be65acdd,7,alter7,male,46_55,3,3,school,Spanish-English,Spanish-English,1
06029b97-694c-41b8-807e-4cb07dca16a8,3f6d3f7e-104b-4fff-8282-5983efc7df0f,8,alter8,female,36_45,5,5,school,Spanish-English,Spanish-English,1
06029b97-694c-41b8-807e-4cb07dca16a8,64061c1d-fb1d-47a4-8940-0bee121a0cf7,9,alter9,female,26_35,1,4,school,Spanish-English,Spanish-English,1
06029b97-694c-41b8-807e-4cb07dca16a8,a6021fce-167f-4850-bda6-38bbc6a9662b,10,alter10,female,65_99,5,4,work,Spanish-English,Spanish-English,1
06029b97-694c-41b8-807e-4cb07dca16a8,6813db02-e1c6-4a4d-8be1-63acdc681fd8,11,alter11,female,65_99,4,1,work,Spanish-English,Spanish-English,1
06029b97-694c-41b8-807e-4cb07dca16a8,e510799d-906a-4ea9-bb04-8baf02b96772,12,alter12,male,36_45,2,2,work,Spanish-English,Spanish-English,1
06029b97-694c-41b8-807e-4cb07dca16a8,f743a562-a3c8-4951-86a1-5c709a576589,13,alter13,male,36_45,5,4,social,Spanish-English,Spanish-English,2
06029b97-694c-41b8-807e-4cb07dca16a8,a580fe43-8d06-49a3-b75e-df36314ddea0,14,alter14,other,46_55,4,5,social,Spanish-English,Spanish-English,2
06029b97-694c-41b8-807e-4cb07dca16a8,8a42b8e2-fda9-4e69-a2a7-d58e6f226c12,15,alter15,other,46_55,3,4,social,Spanish-English,Spanish-English,2
aff41946-2537-401a-a542-d53d6c177529,7d7a654f-19a5-4e3a-b672-4491cb79ed9b,1,alter1,other,18_25,2,4,work,English,English,NA
aff41946-2537-401a-a542-d53d6c177529,3945579e-67f4-46bd-abe5-de1a1112c92e,2,alter2,female,18_25,2,1,social,English,English,NA
aff41946-2537-401a-a542-d53d6c177529,ffaf9f92-c746-4bae-9d93-1f043bd232d0,3,alter3,other,56_65,5,2,social,English,English,NA
aff41946-2537-401a-a542-d53d6c177529,85214ab0-6643-43a1-8f19-26b590100c37,4,alter4,male,18_25,2,3,work,English,English,NA
aff41946-2537-401a-a542-d53d6c177529,a523288c-8ef2-4d60-a4a5-82c8a4d40d60,5,alter5,male,36_45,1,3,work,English,English,NA
aff41946-2537-401a-a542-d53d6c177529,297dd6f6-957e-4719-aef2-9f39ff792984,6,alter6,male,18_25,1,3,social,English,English,NA
aff41946-2537-401a-a542-d53d6c177529,3b6da20a-a194-488a-befa-bcb1a0a1a72b,7,alter7,other,36_45,4,3,social,English,English,NA
aff41946-2537-401a-a542-d53d6c177529,42ec3105-1eaa-47e0-a6f8-f8e733ad5f5e,8,alter8,male,36_45,2,4,work,English,English,NA
aff41946-2537-401a-a542-d53d6c177529,9433cb56-c82e-4669-a70d-2585fe40af29,9,alter9,other,26_35,4,3,family,Spanish,Spanish,NA
aff41946-2537-401a-a542-d53d6c177529,905d577f-d515-469e-90fa-0dd6d85c9868,10,alter10,female,36_45,3,4,social,Spanish,Spanish,NA
aff41946-2537-401a-a542-d53d6c177529,3288c616-3e50-448e-a4f8-1fc5e45abd67,11,alter11,other,0_9,5,1,school,Spanish,Spanish,NA
aff41946-2537-401a-a542-d53d6c177529,787723ae-49ae-4659-b9d1-c40cef76891c,12,alter12,female,65_99,3,5,social,Spanish,Spanish,NA
aff41946-2537-401a-a542-d53d6c177529,79de8629-5c46-4b40-bed5-4636ff74d3f4,13,alter13,other,26_35,2,3,school,Spanish,Spanish,NA
aff41946-2537-401a-a542-d53d6c177529,41191650-f72b-4362-9b9c-bbe2f4eab013,14,alter14,male,10_17,1,4,community,Spanish,Spanish,NA
aff41946-2537-401a-a542-d53d6c177529,1ff9cc42-c4c6-4833-a23d-1340d618ff41,15,alter15,female,46_55,2,3,family,Spanish,Spanish,NA
